Frequency (THz),Measured Reflectivity (abs),Fitted Reflectivity (abs),Real(n),Imaginary(n)
3.076171875e-11,3.070472760815889,1.0,1102303.007411929,-5697.24436739783
3.0859375e-11,2.2957190111962382,1.0,1098814.9849649824,-5661.24530233364
3.095703125e-11,0.9045607600154076,1.0,1095348.9663486255,-5625.58635483289
3.10546875e-11,0.6422275264123481,1.0,1091904.74401235,-5590.263253889026
3.115234375e-11,0.5481201187523576,1.0,1088482.1130076493,-5555.271795325327
3.125e-11,0.5495284473513264,1.0,1085080.8709473738,-5520.607840544016
3.134765625e-11,0.6927069939527558,1.0,1081700.8179658414,-5486.267315302554
3.14453125e-11,1.0355059806481512,1.0,1078341.756679695,-5452.246208516549
3.154296875e-11,1.753378033589449,1.0,1075003.4921494848,-5418.540571088509
3.1640625e-11,4.241282351751009,1.0,1071685.8318419626,-5385.1465147619
3.173828125e-11,2.971378486034658,1.0,1068388.5855930713,-5352.060210999818
3.18359375e-11,0.8830045017009955,1.0,1065111.5655716155,-5319.277889887706
3.193359375e-11,0.592287483660306,1.0,1061854.5862436,-5286.795839059511
3.203125e-11,0.5002198793054218,1.0,1058617.4643372183,-5254.610402646742
3.212890625e-11,0.3356071534765533,1.0,1055400.0188084804,-5222.717980249829
3.22265625e-11,0.2560968956534743,1.0,1052202.0708074674,-5191.115025931263
3.232421875e-11,0.6017815290284744,1.0,1049023.4436451928,-5159.7980472300205
3.2421875e-11,1.6466047792023626,1.0,1045863.9627610671,-5128.763604196704
3.251953125e-11,7.980504851800605,1.0,1042723.4556909467,-5098.008308448945
3.26171875e-11,2.7491403688621685,1.0,1039601.7520357566,-5067.528822246565
3.271484375e-11,1.547341264065539,1.0,1036498.683430675,-5037.321857586045
3.28125e-11,1.3099646919824792,1.0,1033414.0835148678,-5007.384175313801
3.291015625e-11,1.6136653828444922,1.0,1030347.7879017636,-4977.712584257879
3.30078125e-11,2.5781184305054663,1.0,1027299.6341498526,-4948.3039403775765
3.310546875e-11,5.066597019616137,1.0,1024269.4617340058,-4919.155145930617
3.3203125e-11,8.92010174532663,1.0,1021257.1120172987,-4890.263148657428
3.330078125e-11,3.0508260748566896,1.0,1018262.4282233304,-4861.624940982135
3.33984375e-11,1.9699666911809846,1.0,1015285.2554090284,-4833.237559229901
3.349609375e-11,1.7371588880674154,1.0,1012325.4404379295,-4805.098082860191
3.359375e-11,1.6429514382969168,1.0,1009382.8319539264,-4777.203633715637
3.369140625e-11,1.7075902990307208,1.0,1006457.2803554701,-4749.551375286086
3.37890625e-11,2.2521256695990637,1.0,1003548.6377702206,-4722.138511987555
3.388671875e-11,6.3526382667614225,1.0,1000656.7580301352,-4694.962288455672
